day	tube	time	od	sample
1	a	145	.111	a0d1
1	b	145	.111	b0d1
1	c	145	.111	c0d1
1	a	240	2.99	a1d1
1	b	240	2.74	b1d1
1	c	240	3.03	c1d1
1	a	290	17.46	a2d1
1	b	290	17.1	b2d1
1	c	290	18.66	c2d1
1	a	337	93.6	a3d1
1	b	337	86.4	b3d1
1	c	337	95.04	c3d1
2	a	145	.095	a0d2
2	b	145	.095	b0d2
2	c	145	.095	c0d2
2	a	235	2.84	a1d2
2	b	235	2.76	b1d2
2	c	235	2.95	c1d2
2	a	290	19.5	a2d2
2	b	290	18.18	b2d2
2	c	290	19.02	c2d2
2	a	340	113.76	a3d2
2	b	340	110.88	b3d2
2	c	340	113.04	c3d2
3	a	145	.09	a0d3
3	b	145	.09	b0d3
3	c	145	.09	c0d3
3	a	245	2.73	a1d3
3	b	245	2.49	b1d3
3	c	245	2.71	c1d3
3	a	300	21.47	a2d3
3	b	300	16.89	b2d3
3	c	300	17.17	c2d3
3	a	345	124.32	a3d3
3	b	345	103.04	b3d3
3	c	345	89.6	c3d3
